"SPEAKER","SENTENCE","DATAID","DOMAINID","DOMAIN","CATEGORY","SPEAKERID","SENTENCEID","MAIN","SUB","QA","QACNCT","MQ","SQ","UA","SA","개체명","용어사전","지식베이스",""
"고객","신발은 여기 있는 게 다예요?","박은영_액세서리_5","B","의복의류점","신발","1","1","종류별신발제품문의요청","","Q","","신발은 여기 있는 게 다예요?","","","","신발, 여기","","신발/제품","0"
"점원","네 성인이나 아동 다 있어요","박은영_액세서리_5","B","의복의류점","신발","0","2","종류별신발제품문의요청","","A","","","","","네 성인이나 아동 다 있어요","성인, 아동","","성인/대상, 아동/대상",""
"점원","발 사이즈 몇 신으세요?","박은영_액세서리_5","B","의복의류점","신발","0","3","종류별신발제품문의요청","사이즈","Q","","","발 사이즈 몇 신으세요?","","","발, 사이즈","","",""
"고객","230이요","박은영_액세서리_5","B","의복의류점","신발","1","4","종류별신발제품문의요청","사이즈","A","","","","230이요","","230","","230/사이즈",""
"점원","편하게 신을 수 있는 거 찾으세요?","박은영_액세서리_5","B","의복의류점","신발","0","5","착화감","제품문의","Q","","","편하게 신을 수 있는 거 찾으세요?","","","","","",""
"고객","네 봄이니까 편하게 신을 수 있는 거","박은영_액세서리_5","B","의복의류점","신발","1","6","착화감","제품문의","A","","","","네 봄이니까 편하게 신을 수 있는 거","","봄","","봄/계절",""
"점원","이런 건 어떠세요? 이런 거도 신발 무척 편하거든요","박은영_액세서리_5","B","의복의류점","신발","0","7","착화감","제품추천","Q","","","이런 건 어떠세요? 이런 거도 신발 무척 편하거든요","","","신발","","신발/제품",""
"고객","굽 좀 높은 거 없나요?","박은영_액세서리_5","B","의복의류점","신발","1","8","굽높이문의","","Q","","굽 좀 높은 거 없나요?","","","","굽","","굽/부분",""
"점원","봄 상품은 아직 어른 제품이 많이 안나왔습니다","박은영_액세서리_5","B","의복의류점","신발","0","9","굽높이문의","","A","","","","","봄 상품은 아직 어른 제품이 많이 안나왔습니다","봄, 상품, 어른","","봄/계절, 어른/대상",""
"고객","언제 들어와요?","박은영_액세서리_5","B","의복의류점","신발","1","10","재입고문의","","Q","","언제 들어와요?","","","","언제","","",""
"점원","이번주 지나면 들어올 거예요","박은영_액세서리_5","B","의복의류점","신발","0","11","재입고문의","","A","","","","","이번주 지나면 들어올 거예요","이번주","","이번주/날짜",""
"고객","이거는 가죽이에요?","박은영_액세서리_5","B","의복의류점","신발","1","12","소재문의","","Q","","이거는 가죽이에요?","","","","이거, 가죽","","가죽/소재",""
"점원","가죽 아니고 쎄무예요","박은영_액세서리_5","B","의복의류점","신발","0","13","소재문의","","A","","","","","가죽 아니고 쎄무예요","가죽, 쎄무","","가죽/소재, 쎄무/소재",""
